1;perly;milk cream, cream, sugar, banana, bacteria;banana, milk;https://world.openfoodfacts.org/product/6111242100992
116;Le Gourmand Soja, Poivre et Persil;water, soy protein concentrate 14.8%, breadcrumbs (wheat flour, water, rapeseed oil, yeast, salt, paprika extract), wheat protein 5%, dehydrated onions, vegetable oils (rapeseed, sunflower) in varying proportions, egg white powder 3.9%, apple puree, acidity regulator buffered vinegar, flavourings (wheat), corn starch, parsley 1.1%, potato flakes, yeast extract, coriander, garlic powder, pea fibre and starch, barley malt extract, salt, spirit vinegar, black pepper 0.13%, cumin, mace, may contain sesame, celery and mustard,;eggs, gluten, soybeans;https://world.openfoodfacts.org/product/7613035982055
117;Nature Sans Sucres;soy juice 98%, calcium salts, natural flavouring, vitamin d2, ferments including bifidus;soybeans;https://world.openfoodfacts.org/product/3273220081068
118;Mince;Mycoprotein (91%), Rehydrated Free Range Egg White, Pea Fibre, Gluten Free Barley Malt Extract. ALLERGY ADVICE;eggs, gluten;https://world.openfoodfacts.org/product/5019503002157
119;Soy yoghurt Greek style;Soya juice 99% (water, soya beans 11,9%), thickener pectin, selected live cultures.;soybeans;https://world.openfoodfacts.org/product/3273220182574
120;Super Firm Tofu;Water, Organic Soya Beans (34%), Firming Agent (Nigari (Magnesium Chloride)).;soybeans;https://world.openfoodfacts.org/product/00412896
121;Cod Fish Fingers;Cod 58% (Fish), Breadcrumb Coating (Wheat Flour, Water, Potato Starch, Salt, Paprika, Yeast, Turmeric), Rapeseed Oil.;fish, gluten;https://world.openfoodfacts.org/product/5000116111947
122;Salade Compagnie - Antibes;mixed salad topped with 25% rice, 18% raw vegetables, 13% egg, 6% tuna and 2% olive, accompanied by a vinaigrette sauce with 2% balsamic vinegar, a cookie with 1% chocolate chips and breadsticks, mixed salad 83% cooked rice 30% (water, rice, salt), egg, salad 11%, tomatoes 7%, sweet corn, tuna, soybeans, olives, roasted peppers, lemon juice, vegetable oils (rapeseed, sunflower), water, ferments, glucose syrup, salt, natural flavors, aromatic plants, balsamic dressing sauce 7% rapeseed oil, virgin olive oil, wine vinegar (sulphites), grape must, salt, lemon biscuit 5% wheat flour, concentrated butter, egg, lemon zest and puree, rapeseed oil, sugar, wheat starch, baking powders e450, sodium carbonates, natural flavors, salt, poppy seeds, breadsticks 4% wheat flour, water, virgin olive oil, rosemary, bakers yeast, salt, poppy seeds, durum wheat semolina, sugar,;eggs, fish, gluten, milk, mustard, soybeans, sulphur dioxide and sulphites;https://world.openfoodfacts.org/product/3242274002053
123;10 Fish Fingers Omega 3;Alaska Pollock (FISH) (58%), Breadcrumb Coating, Rapeseed Oil. Breadcrumb Coating (WHEAT Flour, Water, Potato Starch, Salt, Paprika, Yeast, Turmeric).;fish, gluten;https://world.openfoodfacts.org/product/5000116111978
124;Colin dAlaska MSC facon Fish Chips;alaskan colin 49%, wheat flour (wheat, calcium carbonate, iron, niacin, thiamine), water, rapeseed oil, wheat starch, salt, rice flour, corn flour, mustard, natural flavors (including mustard), dextrose, baking powders (diphosphates, sodium bicarbonate), garlic powder, wheat gluten, paprika, spice extract;fish, gluten, mustard;https://world.openfoodfacts.org/product/3599741003380
125;Breaded Omega 3 Fish Fingers;ALASKA POLLOCK (Theragra chalcogramma) (FISH) (64%), Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Rapeseed Oil, Potato Starch, Wheat Starch, Salt, Spices (Paprika, Turmeric), Yeast.;fish, gluten;https://world.openfoodfacts.org/product/4088600253961
126;St Jacques fondue leeks Basmati rice;cooked rice 35.5% (water, basmati rice, rapeseed oil, salt), scallop 21.4% (A Zygochlamys patagonica from Argentina - B Russian Chlamys albidus - C Argopecten purpuratus from Peru - D Chlamys opercularis Scotland Ireland), fresh cream 12%, water, leeks 8.7%, vermouth, wheat flour, shallots 1.8%, butter 0.7%, rapeseed oil, white wine 0.4%, salt, garlic, concentrated lemon juice, pepper. To know the origin and the species, refer to the lot number;gluten, milk, molluscs;https://world.openfoodfacts.org/product/3248832967611
127;Paneerattu kalapuikko alaskanseitifileesta;65% alaska seaiachsfiiet , wheat flour , sunflower oil, potato starch, water, table salt, yeast, spices (white pepper, pepper);fish, gluten;https://world.openfoodfacts.org/product/20155087
128;Fish sauce imp;Anchovy Extract (68%) FISH), Salt, Sugar, Water.;fish;https://world.openfoodfacts.org/product/5010338404383
129;Battered Chunky Fish Fingers;Flour (Wheat Flour, Calcium, Iron, Niacin, Thiamine), Water, Wholemeal Wheat Flour, Barley Flour, Organic Wholemeal Emmer Wheat Flour, Spelt Flour (Wheat), Sea Salt. No artificial preservatives No added sugar N Ene Fat;fish, gluten;https://world.openfoodfacts.org/product/5060235980510
130;Rainbow Salmon Poke;Cooked rice (water, rice, sugar, spirit vinegar, rice vinegar, salt, rapeseed oil, fructose-glucose syrup, cane molasses), salmon (Salmo salar) (fish) (10%), soy sesame dressing (10%) (water, soy sauce (water, soya beans, wheat, salt, alcohol), sugar, rice vinegar, sesame seed oil, modified maize starch, onion puree, spirit vinegar, apple juice concentrate, ginger puree, lemon juice concentrate, lime juice concentrate, garlic powder, white pepper), edamame beans (8%) (soya), pickled red cabbage (5%) (red cabbage, rice vinegar, sugar, salt), grilled yellow pepper (5%), crispy onions (3%) (onion, palm oil, wheat flour, salt).;fish, gluten, sesame seeds, soybeans;https://world.openfoodfacts.org/product/5035272937469
131;Mackrel Fillets in spicy tomato sauce;64% Mackerel Fillets (Fish), Water, 12% Tomato Puree, Sugar, Spirit Vinegar, Spices (Chilli, Star Anise, Nutmeg, Cinnamon, Paprika, Coriander, Fenugreek, Cumin, Turmeric, Garlic, Pepper, Fennel, Clove, Caraway, Ginger, Allspice), Bitter Orange Peel, Salt.;fish;https://world.openfoodfacts.org/product/20183059
132;Mackerel fillets;64% Mackerel Fillets (Fish), Water, 13% Tomato Puree, Salt.;fish;https://world.openfoodfacts.org/product/4056489350804
133;Omega-3 Fish Fingers;Alaska Pollock 65% (Fish), Wheat Flour, Sunflower Oil, Water, Potato Starch, Salt, Spices (Paprika, White Pepper), Yeast, Fish Oil.;fish, gluten;https://world.openfoodfacts.org/product/4056489431039
134;28 batonnets de surimi;38% fish meat, water, starches (contains cereals containing gluten), rehydrated egg white, rapeseed oil, sugar, salt, natural flavours (contains crustaceans), colour paprika extract,;crustaceans, eggs, fish, gluten;https://world.openfoodfacts.org/product/20466909
135;Fish fingers;Alaska Pollock 58% (fish), Breadcrumb Coating (Wheat Flour, Water, Potato Starch, Salt, Paprika, Fish Oil, Yeast, Turmeric), Rapeseed Oil.;fish, gluten;https://world.openfoodfacts.org/product/5000116124572
136;fish fingers;NUTR Alaska Pollock (FISH) (58%), Breadcrumb Coatingquot,, Rapeseed Oil. Breadcrumb Coating (WHEAT Flour, Water, Potato Starch, Salt, Paprika, Yeast, Turmeric);fish, gluten;https://world.openfoodfacts.org/product/5000116128921
137;Tesco mackerel in tomato sauce;Sardines (Fish) Typical values (70%), Tomato Puree (26%), Sunflower Oil, Salt;fish;https://world.openfoodfacts.org/product/5018374363411
138;Fish Pie;Potatoes, milk, hake (11%) (fish), salmon (11%) (fish), cream (milk), butter (milk), smoked haddock (3%) (smoked haddock (fish), salt), wheat flour (wheat flour, calcium carbonate, iron, niacin, thiamin), Cheddar cheese (milk), spinach, breadcrumbs (wheat flour (wheat flour, calcium carbonate, iron, niacin, thiamin), salt, yeast, caramelised sugar, colours paprika extract, turmeric extract), double cream (milk), salt, parsley, free-range egg yolk, fish stock (water, salt, fish powder, rapeseed oil, dried cod (fish), anchovies (fish), lemon juice concentrate, dried onion, dried potato), lemon juice, white pepper.;eggs, fish, gluten, milk;https://world.openfoodfacts.org/product/5033665208639
139;Mackerel in Tomato Sauce;MACKEREL (Scomber scombrus) (64%) (Fish), TOMATO PASTE (16%), Water, Rapeseed Oil, Sugar, Salt. ALLERGY ADVICE For allorgens see ingredients in hold;fish;https://world.openfoodfacts.org/product/4088600107004
140;Riz a la Provencale au Thon Basilic;rice (52%), tomatoes (11%), thon (7%), peas (4%), sweet corn (4%), black olives (4%), peppers, alcohol vinegar, rapeseed oil, extra virgin olive oil, basil (0,9%), salt, dijon moutarde (water, moutarde seeds, alcohol vinegar, salt), sugar, thickeners guar gum - xanthan gum, natural flavourings, made in a workshop also using gluten, milk, egg, celery, crustacean, soy, nuts ,;celery, crustaceans, eggs, fish, gluten, milk, mustard;https://world.openfoodfacts.org/product/3083681081596
141;Cooked Scottish Mussels;Mussels 88%, Garlic butter sauce 12% (Rehydrated skimmed milk, Rehydrated vegetable stock (water, Maltodextrin, Yeast extract, Salt, Sugar, Vegetable extracts (Onion, Carrot, Celery), Vegetable oil, Dried tomato,Herbs), Vegetable oil, Modified maize starch, Salt, Soya lecithin, Butter 22%, Garlic Puree, Salt, Dried Parsley).;celery, milk, molluscs, soybeans;https://world.openfoodfacts.org/product/20143299
142;Pickled cockles;COCKLES (MOLLUSC), WATER, SALT, ACETIC ACID, MALT VINEGAR FROM BARLEY (GLUTEN). MAY CONTAIN TRACES OF CRUSTACEANS.;gluten, molluscs;https://world.openfoodfacts.org/product/50824991
143;King Prawn Tikka Masala with pilau rice;Cooked Pilau Rice Water, Basmati Rice, Rapeseed Oil, Salt, Concentrated Lemon Juice, Cumin Seed, Cardamom Pods, Cardamom Powder, Bay Leaf, Colour (Curcumin), King Prawn (Crustacean) (14%), Onion, Tomato Puree, Single Cream (Milk), Tomato, Yogurt (Milk), Rapeseed Oil, Tomato Juice, Ground Almonds, Ginger Puree, Garlic Puree, Butter (Milk), Honey, Cornflour, Salt, Coriander Leaf, Coriander Powder, Cumin Powder, Paprika, Acidity Regulator (Sodium Bicarbonate), Green Chilli, Curry Leaves, Black Mustard Seed, Turmeric, Cardamom, Colour (Paprika Extract), Fenugreek, Black Pepper, Chilli Powder, Cinnamon Powder, Clove Powder, Fennel, Bay Leaf. Made using prawns farmed in Thailand and Honduras.;crustaceans, milk, mustard, nuts;https://world.openfoodfacts.org/product/5059697699351
144;Prawn Mangetout Gyoza with a Ponzu Dip;Prawn and Mangetout Gyoza (83%) Tiger Prawns (Crustacean) (37%) , Wheatflour (contains Gluten), Cabbage , Water , Mangetout (5%) , Onions, Sunflower oil , Chives , Ginger , Salt ,White wine,Red chillies , Sesame Oil, Sugar , Light soy sauce (Water, Soybeans, Salt ,Wheat (contains Gluten) , Fructose-Glucose Syrup) , Ground white pepper. Ponzu Dip (17%) Nori stock (Water Seaweed) , Soy Sauce (6%) (Water ,Soybeans, Wheatflour (contains Gluten) ,Salt) , Rice Wine (3%) , Sugar , Lime Juice (1.5%) , Rice Vinegar , Salt.;crustaceans, gluten, sesame seeds, soybeans;https://world.openfoodfacts.org/product/00885584
145;Prawn linguine;Cooked Pasta Durum Wheat Semolina, Water, Water, Skimmed Milk, Prawn (Crustacean) (9%), Onion, Cornflour, Single Cream (Milk), Lemon Juice, White Wine, Mature Cheddar Cheese (Milk), Wheat Flour Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin, Salt, Fish Gelatine, Parsley, Lemon Zest, Dried Glucose Syrup, Potato Starch, Yeast Extract, Black Pepper, Flavouring (contains Fish), Sugar, Dried Onion, Cod (Fish), Dried Garlic, Leek, Rapeseed Oil, Tomato Powder, Bay, Fennel, White Pepper.;crustaceans, fish, gluten, milk;https://world.openfoodfacts.org/product/5057753098889
146;Spaghetti prawns and black pepper sauce;aouusno (Ingredients) Spoghetti 55.0%, Black Pepper Sauce 21.0%, HOUHJIHQY Onion 9.0%, Shrimp 8.0%, usnHOu Bell Pepper 6.0%, usninedau Pepper corn 1.0% ();crustaceans, gluten;https://world.openfoodfacts.org/product/8850231800861
147;Gerble - Sesame Cookie, 230g (8.2oz);Wheat flour, brown cane sugar, rapeseed oil, toasted sesame 10.6%, wheat germ 5.4%, whole wheat flour 5.4%, natural flavor, magnesium, emulsifier lecithins, raising agents (potassium tartrates, sodium carbonates, ammonium carbonates), sea salt, wheat starch, vitamins (E, PP, B6, B1, B9).;gluten, sesame seeds;https://world.openfoodfacts.org/product/3175680011480
148;Fine Rye Crispbread - Fibre;whole rye flour (57 g), wheat bran (27 g), oatmeal (13 g), sesame seeds (7.9 g), wheat germ, salt.;gluten, sesame seeds;https://world.openfoodfacts.org/product/7300400481588
149;NYC BAGEL Sesame;WHEAT Flour (WHEAT Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, SESAME Seeds (3%), Sugar, Yeast. Maize, Salt, Rapeseed Oil, Spirit Vinegar, sweet potato puree, Preservative (Calcium Propionate), Malted BARLEY Flour, Flour Treatment Agent (Ascorbic Acid);gluten, sesame seeds;https://world.openfoodfacts.org/product/5020364010151
150;Simply Sesame;Wholegrain RYE Flour (81%), RYE Bran, SESAME SEEDS (11%) Salt.;gluten, sesame seeds;https://world.openfoodfacts.org/product/5050974505297
151;Belgian Dark Chocolate Rice Cake Thins imp;Organic dark chocolate (59%) (organic cocoa mass, organic cane sugar, organic cocoa butter), organic wholegrain brown rice.;;https://world.openfoodfacts.org/product/5013665103028
152;Tilda Steamed Brown Basmati Rice;Natural Basmati Rice - Cooked (98%), Rice Bran Oil, Salt.;;https://world.openfoodfacts.org/product/5011157888132
153;Pure Basmati Rice;basmati rice 98%, rice bran oil;;https://world.openfoodfacts.org/product/5011157888101
154;Wholegrain Basmati Wild Rice;Natural Wholegrain Basmati Rice Steamed (89%), Natural Wild Rice Steamed (10%), Rice Bran Oil, Acacia Fibre;;https://world.openfoodfacts.org/product/5011157992662
155;Classic Wholegrain Rice;COOKED WHOLEGRAIN RICE (99%) (Water, Wholegrain Rice), Sunflower Oil.;;https://world.openfoodfacts.org/product/4088600157962
156;Multigrain Rice Cakes;BROWN RICE (76%), Com, Sorghum, Buckwheat, Linseed, Sunflower Seeds, Sea Salt.;;https://world.openfoodfacts.org/product/4088600526065
157;Snack a Jacks Zingy Salt Vinegar 117g;Wholegrain Rice (46%), Maize, Seasoning Flavourings, Salt, Acid (Citric Acid), Sugar, Potassium Chloride, Vinegar Powder, Sunflower Oil.;;https://world.openfoodfacts.org/product/5000328024240
158;Coconut And Rice Milk;water, 5.3% coconut milk (coconut cream, water), 3.3% rice, sea salt, natural coconut flavor, stabilizers guar gum, gellan gum, xanthan gum,;;https://world.openfoodfacts.org/product/4056489346364
159;Rice Basmati;long grain basmati rice,;;https://world.openfoodfacts.org/product/3038359007217
160;Salt Vinegar Flavour Crispy Rice and Corn Snack;rice, maize (with germ removed), salt and vinegar flavour flavourings, sugar, salt, acid (citric acid), potassium chloride, vinegar powder, acidity regulator (potassium citrates), sunflower oil. allergy advice may contain milk, wheat, gluten, barley, soya, celery, mustard. what pp;;https://world.openfoodfacts.org/product/5000328250687
161;Vermicelles de Riz;rice flour 100%,;;https://world.openfoodfacts.org/product/4002359650178
162;Original Classic Wholegrain Rice;Steamed parboiled wholegrain rice (98%), Sunflower oil.;;https://world.openfoodfacts.org/product/5010034015098
163;Aldi Slightly Salted Rice Cake;Brown Rice, Sea Salt;;https://world.openfoodfacts.org/product/4088600526089
164;Special mexican style rice;COOKED LONG GRAIN RICE (85%) (Water, Long Grain Rice), RED PEPPER (6%), TOMATO PUREE (4%), Sunflower Oil, Sugar, Water, GREEN JALAPENO CHILLI (0.5%), Yeast Extract Powder, Onion Powder, Garlic Powder, Cumin Powder, Lemon Juice Concentrate, Flavourings, Salt, Chilli Powder, Colours Paprika Extract, Curcumin, Turmeric Powder, Black Pepper, Cayenne Pepper. DIETARY ADVICE Suitable for vegetarians. No artificial colours, flavourings or preservatives. opened, if uncom Not suitable for freezin Packaged in a protecti 0 RECYCLE A STORE Dont recy at home fyou are not entire the store where t replace or refundit ALDI WK023910-2 4088600043340;;https://world.openfoodfacts.org/product/4088600043340
165;Wholegrain Rice;Cooked Wholegrain Rice (98%) (Water, Brown Rice), Sunflower Oil.;;https://world.openfoodfacts.org/product/5051008067439
166;GOLDEN VEGETAB;Steamed parboiled long grain rice (83%), red pepper (4.7%), carrot (3.9%), sweetcorn (3.1%), peas (1.9%), sunflower oil, salt, yeast extract, natural flavouring, onion powder, spices, acid (citric acid).;;https://world.openfoodfacts.org/product/5010034013995
167;Wholegrain Low fat rice cakes imp;Wholegrain brown rice (99.75%), sea salt;;https://world.openfoodfacts.org/product/5013665103776
168;Tast of - Basmati Microwave Rice;99% cooked basmati rice (water, basmati rice), vegetable oil (sunflower oil or rapeseed oil),;;https://world.openfoodfacts.org/product/20142360
169;Basmati rice;water, basmati rice, sunflower oil;;https://world.openfoodfacts.org/product/4088600157924
170;Wholegrain Rice, Quinoa, Pumpkin Sunflower Seeds;COOKED WHOLEGRAIN BASMATI RICE 92%(Water, Brown Basmati Rice), COOKED RED QUINOA 3%(Water, Red Quinoa), PUMPKIN SEEDS 2%, SUNFLOWER SEEDS 1.5%, Sunflower Oil, Vegetable Bouillon(Salt, Yeast Extract, Dextrose, Potato Starch, Onion Extract, Carrot Powder, Parsley, Marjoram Extract, Pepper Extract, Sage Extract, Thyme Extract, Colour(Curcumin)), Coconut Oil, Salt;;https://world.openfoodfacts.org/product/4088600043364
171;Salt Vinegar flavoured rice cakes;Brown Rice (34%), White Rice (25%), Corn Grits, Rapeseed Oil, Salt, Flavouring, Rice Flour, Maltodextrin, Sugar, Acidity Regulators (Citric Acid, Calcium Phosphate), Coconut Oil, Emulsifier (Acacia Gum).;;https://world.openfoodfacts.org/product/5059697270109
172;PROPERCHIPS Sea Salt Lentil Chips;Lentil flour (30%), potato starch, vegetable oils (sunflower, rapeseed), corn flour, salt.;;https://world.openfoodfacts.org/product/5060283762199
173;BEANZ In a rich tomato sauce NO ADDED SUGAR;Beans (50%), Tomatoes (37%), Water, Modified Cornflour, Spirit Vinegar, Salt, Natural Flavouring, Spice Extracts, Sweetener - Steviol Glycosides, Herb Extract. Contains naturally occuring sugars.;;https://world.openfoodfacts.org/product/5000157078773
174;Le Superieur -25% de Sel - Conservation sans Nitrite;pork ham, broth (water, pork bones, aromatic plants, spices, onion concentrate, carrot concentrate, pork meat, celery, carrots, celery concentrate, leek, onion), salt, potassium chloride, natural flavor (natural presence of polyphenols), vinegar powder, corn dextrose, antioxidant ascorbic acid,;;https://world.openfoodfacts.org/product/3302740047404
175;Sel fin iode;sea salt, sodium iodide 15 to 20 mgkg (expressed as iodine element), anti-aggopiars e504, magnesium oxide, e535,;;https://world.openfoodfacts.org/product/3183280001800
176;Sea Salt Balsamic Vinegar Crisps;select potatoes, vegetable oils (rapeseed oil, sunflower oil), seasoning with sea salt and balsamic vinegar of modena (sea salt, balsamic vinegar of modena potato maltodextrin, sugar, potato starch, acid citric acid, natural flavourings).;;https://world.openfoodfacts.org/product/5017764128128
177;Seabrook sea salt;potatoes, sunflower oil (30%), sea salt;;https://world.openfoodfacts.org/product/5016451062110
178;Love, Corn (Sea Salt);Corn, sunflower oil, sea salt;;https://world.openfoodfacts.org/product/5060490400242
179;Salt and Vinegar Flavour Potato Crisps;potatoes, vegetable oils (sunflower, rapeseed, in varying proportions), salt , (flavouring, dried vinegar, salt, acid (citric acid), potassium chloride, sugar);;https://world.openfoodfacts.org/product/51000009
180;Mixed Beans;Mixed Beans(Black eyed beans, Chickpeas, Haricot beans, Pinto beans, Red Kidney beans, Adzuki beans), Water, Firming Agent(Calcium Chloride);;https://world.openfoodfacts.org/product/4088600140872
181;Baked Sea Salt;potato flakes, starch, rapeseed oil, sugar, emulsifier (lecithins), sea salt seasoning (sea salt, salt), flavourings, sunflower oil, colour (annato norbixin);;https://world.openfoodfacts.org/product/5000328015927
182;Lentil Chips - Sea Salt Flavour;Lentil Flour (43%), Potato Starch, Rapeseed Oil, Maize Flour, Salt;;https://world.openfoodfacts.org/product/5026489483054
183;Organic Swiss Vegetable Vegan Bouillon Powder;Rice flour, Sea salt, Maltodextrin (from maize), Vegetables 8.3% (onion, carrot, parsnip, pumpkin), Yeast extract, Sunflower oil, Turmeric, Mushrooms (white mushroom, shiitake), Parsley, Concentrated vegetable juice (onion, carrot), Lovage, Garlic, Fennel seed.;;https://world.openfoodfacts.org/product/5016084235516
184;Sea Salt Cider Vinegar Veggie Cakes;Lentil flour (76%), rapeseed oil, sea salt cider vinegar seasoning (7%) natural flavouring, sea salt, acidity regulator citric acid, vinegar powder, apple cider vinegar powder, green peas (6%).;;https://world.openfoodfacts.org/product/5013665116738
185;Bio Oat;water, 10% oats, sunflower oil, table salt;;https://world.openfoodfacts.org/product/4056489041320
186;Salt Vinegar Lentil Chips;Lentil Flour 28%, Potato Starch, Vegetable Oils (Sunflower Oil, Rapeseed Oil, Coconut Oil), Corn Flour, Natural Flavourings, Rice Flour, Salt, Sugar, Apple Cider Vinegar, Spirit Vinegar;;https://world.openfoodfacts.org/product/5060283762427
187;Reduced Sugar and Salt Baked Beans;haricot beans (49%), water, tomato puree (20%), sugar, modified maize starch, salt, onion powder, ground paprika, maltodextrin, onion extract, paprika extract, clove extract, capsicum extract, flavouring, rapeseed oil.;;https://world.openfoodfacts.org/product/5057753934996
188;Quaker Rolled Oats;100% rolled oats;;https://world.openfoodfacts.org/product/5000108022152
189;Natural Thick And Creamy;Coconut Milk, Coconut Water, Corn Flour, Corn Fibre, Potato Flour, Fruit Pectin, Cultures (Streptococcus Thermophilus, Lactobacillus Bulgaricus, Lactobacillus Acidophilus, Bifidobacterium Lactis);;https://world.openfoodfacts.org/product/0680569854124
190;Tempting and Tropical Coconut;Water, Coconut milk (5.3%) (Coconut cream, Water), Rice (3.3%), Calcium (Tri-calcium phosphate), Stabilisers (Guar gum, Gellan gum, Xanthan gum), Sea salt, Flavourings, Vitamins (B12, D2).;;https://world.openfoodfacts.org/product/5411188116592
191;Hot Chocolate Powder;Sugar, cocoa powder, acidity regulator (potassium carbonates), flavouring.;;https://world.openfoodfacts.org/product/5034660021582
192;Nature Valley Crunchy Oats Honey;Whole Grain Rolled Oats (60%), Sugar, Vegetable Oils (Sunflower, Rapeseed in varying proportions), Honey (3%), Salt, Molasses, Emulsifier (Lecithins), Raising Agent (Sodium Bicarbonate);;https://world.openfoodfacts.org/product/8410076600790
193;Runny Honey;Pure Honey (100%).;;https://world.openfoodfacts.org/product/01789621
194;Honey;Blend of honeys from more than one countryBlend of non-EU honeys.;;https://world.openfoodfacts.org/product/5011273044757
195;Miel liquide;mixing of honeys originating and non-originating in the ec;;https://world.openfoodfacts.org/product/20001049
196;Runny Honey;Blend of honeys;;https://world.openfoodfacts.org/product/5011273000678
197;Organic Raw Unfiltered Honey;Organic Raw Honey;;https://world.openfoodfacts.org/product/0096619032938
198;Organic Honey;organic Brazilian honey, organic Thailand honey, organic Canadian honey;;https://world.openfoodfacts.org/product/0055828910017
199;Lightly Sea Salted;Potatoes, sunflower oil, sea salt. May contain Milk.;;https://world.openfoodfacts.org/product/5060042641000
200;Tartine doux;non-hydrogenated vegetable oils 54% (rapeseed from france, coconut, palm, palm kernel, flax), water, emulsifiers (mono and diglycerides of fatty acids, sunflower lecithin), salt, natural flavours, antioxidant (rosemary extract), concentrated lemon juice, colour (beta-carotene), vitamin b1,;;https://world.openfoodfacts.org/product/3155251205296
